Edge	Node1	Node2	positions	hg	markers	descendants
1	14	15	9	hg5	Y:9	t9;t13;t12;t11;t10;t5;t6;t8;t7
2	15	16	2	-	Y:2	t9;t13;t12;t11;t10
3	16	17	3	hg2	Y:3	t13;t12;t11;t10
4	17	18				t13;t12
5	18	1				t13
6	18	2				t12
7	17	19	8	-	Y:8	t11;t10
8	19	3				t11
9	19	4				t10
10	16	5	4	-	Y:4	t9
11	15	20	1	hg1	Y:1	t5;t6;t8;t7
12	20	21				t6;t8;t7
13	21	22				t8;t7
14	22	6				t8
15	22	7				t7
16	21	8				t6
17	20	9				t5
18	14	23	9	hg5	Y:9	t1;t2;t4;t3
19	23	24	7	hg4	Y:7	t2;t4;t3
20	24	25	6	-	Y:6	t4;t3
21	25	10				t4
22	25	11				t3
23	24	12				t2
24	23	13				t1
