Edge	Node1	Node2	positions	hg	markers	descendants	snp_count
1	14	15	9			t9;t13;t12;t11;t10;t5;t6;t8;t7	1
2	15	16	2			t9;t13;t12;t11;t10	1
3	16	17	3			t13;t12;t11;t10	1
4	17	18				t13;t12	0
5	18	1				t13	0
6	18	2				t12	0
7	17	19	8			t11;t10	1
8	19	3				t11	0
9	19	4				t10	0
10	16	5	4			t9	1
11	15	20	1			t5;t6;t8;t7	1
12	20	21				t6;t8;t7	0
13	21	22				t8;t7	0
14	22	6				t8	0
15	22	7				t7	0
16	21	8				t6	0
17	20	9				t5	0
18	14	23	9			t1;t2;t4;t3	1
19	23	24	7			t2;t4;t3	1
20	24	25	6			t4;t3	1
21	25	10				t4	0
22	25	11				t3	0
23	24	12				t2	0
24	23	13				t1	0
